Column;Row;R;G;B;Frequency
1;1;0;0;0;3
2;1;0.090909091;0;0;3
3;1;0.181818182;0;0;3
4;1;0.272727273;0;0;3
5;1;0.363636364;0;0;3
6;1;0.454545455;0;0;3
7;1;0.545454545;0;0;3
8;1;0.636363636;0;0;3
9;1;0.727272727;0;0;3
10;1;0.818181818;0;0;3
11;1;0.909090909;0;0;3
12;1;1;0;0;3
1;2;0;0;0;3
2;2;0;0.090909091;0;3
3;2;0;0.181818182;0;3
4;2;0;0.272727273;0;3
5;2;0;0.363636364;0;3
6;2;0;0.454545455;0;3
7;2;0;0.545454545;0;3
8;2;0;0.636363636;0;3
9;2;0;0.727272727;0;3
10;2;0;0.818181818;0;3
11;2;0;0.909090909;0;3
12;2;0;1;0;3
1;3;0;0;0;3
2;3;0;0;0.090909091;3
3;3;0;0;0.181818182;3
4;3;0;0;0.272727273;3
5;3;0;0;0.363636364;3
6;3;0;0;0.454545455;3
7;3;0;0;0.545454545;3
8;3;0;0;0.636363636;3
9;3;0;0;0.727272727;3
10;3;0;0;0.818181818;3
11;3;0;0;0.909090909;3
12;3;0;0;1;3
1;4;0;0;0;5
2;4;0.090909091;0;0;5
3;4;0.181818182;0;0;5
4;4;0.272727273;0;0;5
5;4;0.363636364;0;0;5
6;4;0.454545455;0;0;5
7;4;0.545454545;0;0;5
8;4;0.636363636;0;0;5
9;4;0.727272727;0;0;5
10;4;0.818181818;0;0;5
11;4;0.909090909;0;0;5
12;4;1;0;0;5
1;5;0;0;0;5
2;5;0;0.090909091;0;5
3;5;0;0.181818182;0;5
4;5;0;0.272727273;0;5
5;5;0;0.363636364;0;5
6;5;0;0.454545455;0;5
7;5;0;0.545454545;0;5
8;5;0;0.636363636;0;5
9;5;0;0.727272727;0;5
10;5;0;0.818181818;0;5
11;5;0;0.909090909;0;5
12;5;0;1;0;5
1;6;0;0;0;5
2;6;0;0;0.090909091;5
3;6;0;0;0.181818182;5
4;6;0;0;0.272727273;5
5;6;0;0;0.363636364;5
6;6;0;0;0.454545455;5
7;6;0;0;0.545454545;5
8;6;0;0;0.636363636;5
9;6;0;0;0.727272727;5
10;6;0;0;0.818181818;5
11;6;0;0;0.909090909;5
12;6;0;0;1;5
1;7;;;;
2;7;;;;
3;7;;;;
4;7;;;;
5;7;;;;
6;7;;;;
7;7;;;;
8;7;;;;
9;7;;;;
10;7;;;;
11;7;;;;
12;7;;;;
1;8;;;;
2;8;;;;
3;8;;;;
4;8;;;;
5;8;;;;
6;8;;;;
7;8;;;;
8;8;;;;
9;8;;;;
10;8;;;;
11;8;;;;
12;8;;;;
