Column;Row;R;G;B;Frequency
1;1;0;0;0;1
2;1;0.090909091;0.090909091;0.090909091;1
3;1;0.181818182;0.181818182;0.181818182;1
4;1;0.272727273;0.272727273;0.272727273;1
5;1;0.363636364;0.363636364;0.363636364;1
6;1;0.454545455;0.454545455;0.454545455;1
7;1;0.545454545;0.545454545;0.545454545;1
8;1;0.636363636;0.636363636;0.636363636;1
9;1;0.727272727;0.727272727;0.727272727;1
10;1;0.818181818;0.818181818;0.818181818;1
11;1;0.909090909;0.909090909;0.909090909;1
12;1;1;1;1;1
1;2;0;0;0;1
2;2;0.090909091;0.090909091;0.090909091;1
3;2;0.181818182;0.181818182;0.181818182;1
4;2;0.272727273;0.272727273;0.272727273;1
5;2;0.363636364;0.363636364;0.363636364;1
6;2;0.454545455;0.454545455;0.454545455;1
7;2;0.545454545;0.545454545;0.545454545;1
8;2;0.636363636;0.636363636;0.636363636;1
9;2;0.727272727;0.727272727;0.727272727;1
10;2;0.818181818;0.818181818;0.818181818;1
11;2;0.909090909;0.909090909;0.909090909;1
12;2;1;1;1;1
1;3;0;0;0;3
2;3;0.090909091;0.090909091;0.090909091;3
3;3;0.181818182;0.181818182;0.181818182;3
4;3;0.272727273;0.272727273;0.272727273;3
5;3;0.363636364;0.363636364;0.363636364;3
6;3;0.454545455;0.454545455;0.454545455;3
7;3;0.545454545;0.545454545;0.545454545;3
8;3;0.636363636;0.636363636;0.636363636;3
9;3;0.727272727;0.727272727;0.727272727;3
10;3;0.818181818;0.818181818;0.818181818;3
11;3;0.909090909;0.909090909;0.909090909;3
12;3;1;1;1;3
1;4;0;0;0;3
2;4;0.090909091;0.090909091;0.090909091;3
3;4;0.181818182;0.181818182;0.181818182;3
4;4;0.272727273;0.272727273;0.272727273;3
5;4;0.363636364;0.363636364;0.363636364;3
6;4;0.454545455;0.454545455;0.454545455;3
7;4;0.545454545;0.545454545;0.545454545;3
8;4;0.636363636;0.636363636;0.636363636;3
9;4;0.727272727;0.727272727;0.727272727;3
10;4;0.818181818;0.818181818;0.818181818;3
11;4;0.909090909;0.909090909;0.909090909;3
12;4;1;1;1;3
1;5;0;0;0;5
2;5;0.090909091;0.090909091;0.090909091;5
3;5;0.181818182;0.181818182;0.181818182;5
4;5;0.272727273;0.272727273;0.272727273;5
5;5;0.363636364;0.363636364;0.363636364;5
6;5;0.454545455;0.454545455;0.454545455;5
7;5;0.545454545;0.545454545;0.545454545;5
8;5;0.636363636;0.636363636;0.636363636;5
9;5;0.727272727;0.727272727;0.727272727;5
10;5;0.818181818;0.818181818;0.818181818;5
11;5;0.909090909;0.909090909;0.909090909;5
12;5;1;1;1;5
1;6;0;0;0;5
2;6;0.090909091;0.090909091;0.090909091;5
3;6;0.181818182;0.181818182;0.181818182;5
4;6;0.272727273;0.272727273;0.272727273;5
5;6;0.363636364;0.363636364;0.363636364;5
6;6;0.454545455;0.454545455;0.454545455;5
7;6;0.545454545;0.545454545;0.545454545;5
8;6;0.636363636;0.636363636;0.636363636;5
9;6;0.727272727;0.727272727;0.727272727;5
10;6;0.818181818;0.818181818;0.818181818;5
11;6;0.909090909;0.909090909;0.909090909;5
12;6;1;1;1;5
1;7;0;0;0;15
2;7;0.090909091;0.090909091;0.090909091;15
3;7;0.181818182;0.181818182;0.181818182;15
4;7;0.272727273;0.272727273;0.272727273;15
5;7;0.363636364;0.363636364;0.363636364;15
6;7;0.454545455;0.454545455;0.454545455;15
7;7;0.545454545;0.545454545;0.545454545;15
8;7;0.636363636;0.636363636;0.636363636;15
9;7;0.727272727;0.727272727;0.727272727;15
10;7;0.818181818;0.818181818;0.818181818;15
11;7;0.909090909;0.909090909;0.909090909;15
12;7;1;1;1;15
1;8;0;0;0;15
2;8;0.090909091;0.090909091;0.090909091;15
3;8;0.181818182;0.181818182;0.181818182;15
4;8;0.272727273;0.272727273;0.272727273;15
5;8;0.363636364;0.363636364;0.363636364;15
6;8;0.454545455;0.454545455;0.454545455;15
7;8;0.545454545;0.545454545;0.545454545;15
8;8;0.636363636;0.636363636;0.636363636;15
9;8;0.727272727;0.727272727;0.727272727;15
10;8;0.818181818;0.818181818;0.818181818;15
11;8;0.909090909;0.909090909;0.909090909;15
12;8;1;1;1;15
